"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"California","South Carolina","Logs","Truck","0.0005","0.00130685","0","0"
"California","South Dakota","Logs","Truck","0.0006","0.00101102","0","0"
"California","Tennessee","Logs","Truck","0.0616","0.12414037","0.1335","0.1266"
"California","Texas","Logs","Truck","3.3608","5.34934027","5.9943","5.6821"
"California","Utah","Logs","Truck","0.0594","0.04232028","0.0035","0.0033"
"California","Vermont","Logs","Truck","0","0","0","0"
"California","Virginia","Logs","Truck","0.0004","0.00082477","0","0"
"California","Washington","Logs","Truck","0.0721","0.06543166","0.0043","0.0041"
"California","West Virginia","Logs","Truck","0.0001","0.00025142","0","0"
"California","Wisconsin","Logs","Truck","6.7383","14.4654164","10.7515","10.1914"
"California","Wyoming","Logs","Truck","0.0019","0.00219629","0.0001","0.0001"
"Colorado","Alabama","Logs","Truck","0.0007","0.00095112","0","0"
"Colorado","Alaska","Logs","Truck","0","0","0","0"
"Colorado","Arizona","Logs","Truck","0.0647","0.05028133","0.0039","0.0037"
"Colorado","Arkansas","Logs","Truck","0.0038","0.00370808","0.0002","0.0002"
"Colorado","California","Logs","Truck","0.0461","0.0501456","0.0027","0.0025"
"Colorado","Colorado","Logs","Truck","1610.2588","140.03220369","91.9919","87.2002"
"Colorado","Connecticut","Logs","Truck","0.0002","0.00026352","0","0"
"Colorado","Delaware","Logs","Truck","0.0001","0.00013872","0","0"
"Colorado","Washington DC","Logs","Truck","0.0003","0.00043427","0","0"
"Colorado","Florida","Logs","Truck","0.003","0.00590597","0","0"
"Colorado","Georgia","Logs","Truck","0.0024","0.00375571","0.0001","0.0001"
"Colorado","Idaho","Logs","Truck","0.0098","0.00796532","0.0006","0.0006"
"Colorado","Illinois","Logs","Truck","0.0111","0.01136876","0.0005","0.0004"
"Colorado","Indiana","Logs","Truck","0.0036","0.00418549","0.0002","0.0002"
"Colorado","Iowa","Logs","Truck","0.0078","0.0063539","0.0004","0.0004"
"Colorado","Kansas","Logs","Truck","0.1193","0.06625887","0.0074","0.007"
"Colorado","Kentucky","Logs","Truck","0.0015","0.00193653","0.0001","0.0001"
"Colorado","Louisiana","Logs","Truck","0.0033","0.00411082","0.0001","0.0001"
"Colorado","Maine","Logs","Truck","0","0","0","0"
"Colorado","Maryland","Logs","Truck","0.0008","0.00151883","0","0"
"Colorado","Massachusetts","Logs","Truck","0.0001","0.00023797","0","0"
"Colorado","Michigan","Logs","Truck","0.0023","0.00311583","0.0001","0.0001"
"Colorado","Minnesota","Logs","Truck","0.0066","0.00663663","0.0003","0.0003"
"Colorado","Mississippi","Logs","Truck","0.001","0.0012598","0.0001","0.0001"
"Colorado","Missouri","Logs","Truck","0.0173","0.01367501","0.001","0.0008"
"Colorado","Montana","Logs","Truck","0.004","0.00312943","0.0002","0.0002"
"Colorado","Nebraska","Logs","Truck","0.1271","0.07137188","0.007","0.0066"
"Colorado","Nevada","Logs","Truck","0.0238","0.01877814","0.0014","0.0013"
"Colorado","New Hampshire","Logs","Truck","0.0002","0.00049262","0","0"
"Colorado","New Jersey","Logs","Truck","0.0006","0.00118377","0","0"
"Colorado","New Mexico","Logs","Truck","1.2629","0.55556809","0.0781","0.074"
"Colorado","New York","Logs","Truck","0.0017","0.00319989","0","0"
"Colorado","North Carolina","Logs","Truck","0.0017","0.00285322","0","0"
"Colorado","North Dakota","Logs","Truck","0.0013","0.00123734","0.0001","0.0001"
"Colorado","Ohio","Logs","Truck","0.0032","0.00402618","0","0"
"Colorado","Oklahoma","Logs","Truck","0.0231","0.01654999","0.0013","0.0013"
"Colorado","Oregon","Logs","Truck","0.0023","0.00296264","0.0002","0.0002"
"Colorado","Pennsylvania","Logs","Truck","0.0022","0.00361537","0","0"
"Colorado","Rhode Island","Logs","Truck","0.0001","0.00011465","0","0"
"Colorado","South Carolina","Logs","Truck","0.0014","0.00243792","0","0"
"Colorado","South Dakota","Logs","Truck","0.008","0.00541918","0.0004","0.0003"
"Colorado","Tennessee","Logs","Truck","0.0016","0.00211193","0.0001","0.0001"
"Colorado","Texas","Logs","Truck","4.5827","3.91706625","3.5871","3.4001"
"Colorado","Utah","Logs","Truck","0.2814","0.13626568","0.0173","0.0164"
"Colorado","Vermont","Logs","Truck","0","0","0","0"
"Colorado","Virginia","Logs","Truck","0.0014","0.00246259","0","0"
