"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Delaware","West Virginia","Truck","25.4559","9.63058345","44.5257"
"Delaware","Wisconsin","Truck","25.8241","24.02998818","67.8369"
"Delaware","Wyoming","Truck","0.5686","1.08542549","1.2118"
"Washington DC","Alabama","Truck","0.0001","7.593E-05","0"
"Washington DC","Arizona","Truck","0.0344","0.07891971","0.5858"
"Washington DC","Arkansas","Truck","0","0","0"
"Washington DC","California","Truck","0","0","0"
"Washington DC","Colorado","Truck","0","0","0"
"Washington DC","Connecticut","Truck","0.002","0.0006327","0.0008"
"Washington DC","Delaware","Truck","1.2033","0.12464153","4.0671"
"Washington DC","Washington DC","Truck","7246.9893","31.16205399","5223.4126"
"Washington DC","Florida","Truck","1.7467","1.60886064","2.0263"
"Washington DC","Georgia","Truck","1.6226","1.02296525","2.5282"
"Washington DC","Idaho","Truck","0.244","0.57497697","0.2967"
"Washington DC","Illinois","Truck","1.1261","0.83042405","1.369"
"Washington DC","Indiana","Truck","0.5338","0.32162851","1.2086"
"Washington DC","Iowa","Truck","0.2677","0.2697215","0.3255"
