"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Colorado","Pennsylvania","Truck","112.6492","183.04167112","478.6744","480.0549"
"Colorado","Rhode Island","Truck","2.216","4.4142288","12.9496","12.9876"
"Colorado","South Carolina","Truck","31.9519","51.82991197","141.3704","141.7761"
"Colorado","South Dakota","Truck","171.8695","113.61266402","247.8562","248.7737"
"Colorado","Tennessee","Truck","210.6198","243.83455141","336.1812","336.4797"
"Colorado","Texas","Truck","2262.1167","1990.51017005","3274.38","3279.4846"
"Colorado","Utah","Truck","1240.0254","639.52472858","2837.8893","2838.1628"
"Colorado","Vermont","Truck","5.1786","9.93189509","13.8094","13.7919"
"Colorado","Virginia","Truck","85.1309000000002","143.16087718","294.2644","295.3498"
"Colorado","Washington","Truck","466.9271","609.80441457","877.0841","880.174399999999"
"Colorado","West Virginia","Truck","8.5424","12.37340086","125.586","127.0981"
"Colorado","Wisconsin","Truck","120.3385","127.31685255","291.851","291.7138"
"Colorado","Wyoming","Truck","1861.0591","663.91581392","2581.862","2590.4509"
"Connecticut","Alabama","Truck","49.8827","54.37702618","186.0676","186.8731"
"Connecticut","Alaska","Truck","0.0781","0.35040329","0.0026","0.0026"
"Connecticut","Arizona","Truck","42.825","110.76603652","281.4913","282.8073"
"Connecticut","Arkansas","Truck","30.9364","42.79895721","359.4629","360.6338"
"Connecticut","California","Truck","552.6255","1600.55968288","2155.4284","2166.3499"
"Connecticut","Colorado","Truck","13.0193","25.1813087","115.5291","116.3044"
"Connecticut","Connecticut","Truck","80299.0858","2418.35042357","62667.8082","62738.8769"
"Connecticut","Delaware","Truck","93.6825","20.56878478","102.1541","102.3262"
"Connecticut","Washington DC","Truck","5.1523","1.79327235","38.9874000000001","39.2431000000001"
"Connecticut","Florida","Truck","249.119","321.81435504","797.429699999999","800.228699999999"
"Connecticut","Georgia","Truck","211.885","208.84769267","660.4583","662.537299999999"
"Connecticut","Idaho","Truck","5.0414","12.81270235","43.9442","44.1926"
"Connecticut","Illinois","Truck","719.1727","683.20096797","2296.6553","2311.8062"
"Connecticut","Indiana","Truck","283.2066","232.3881585","826.242299999999","830.586299999999"
"Connecticut","Iowa","Truck","169.6991","198.86379249","653.7549","656.509"
"Connecticut","Kansas","Truck","58.7008","84.96173016","96.1763","97.0737"
"Connecticut","Kentucky","Truck","155.2508","131.98048039","708.5196","716.8622"
"Connecticut","Louisiana","Truck","23.8664","35.87647896","118.2118","119.0829"
"Connecticut","Maine","Truck","451.4178","128.2949897","1402.873","1415.5458"
"Connecticut","Maryland","Truck","353.7918","106.21215962","1004.3193","1009.8814"
"Connecticut","Massachusetts","Truck","5682.0504","609.08041062","11011.3342","11084.4455"
"Connecticut","Michigan","Truck","147.7584","115.6731303","412.2236","412.9107"
"Connecticut","Minnesota","Truck","120.8067","161.45904452","381.5197","382.5583"
"Connecticut","Mississippi","Truck","17.0079","21.85496888","130.0783","130.9745"
"Connecticut","Missouri","Truck","54.2893","64.0561011","297.2949","298.1052"
"Connecticut","Montana","Truck","5.8337","13.4492791","641.6202","643.6717"
"Connecticut","Nebraska","Truck","10.9008","15.28384148","94.8954","95.6338"
"Connecticut","Nevada","Truck","7.1638","19.24984229","25.0645","25.1367"
"Connecticut","New Hampshire","Truck","1072.9444","181.43182327","2551.8728","2571.4942"
"Connecticut","New Jersey","Truck","2034.0197","262.80315672","3976.4569","3989.0882"
"Connecticut","New Mexico","Truck","7.0506","15.03448614","100.1587","101.4961"
"Connecticut","New York","Truck","6584.92310000001","791.539073679999","14801.5487","14882.7614"
"Connecticut","North Carolina","Truck","763.016499999999","528.2181933","2248.0379","2256.4466"
"Connecticut","North Dakota","Truck","25.0127","40.80552455","73.6836","73.9334"
"Connecticut","Ohio","Truck","447.0148","276.69288395","1742.5434","1750.6436"
"Connecticut","Oklahoma","Truck","28.5352","43.78535384","176.2444","178.1765"
"Connecticut","Oregon","Truck","26.8558","81.07784611","111.1375","111.6385"
"Connecticut","Pennsylvania","Truck","1718.1634","485.64144731","3254.5451","3258.6272"
"Connecticut","Rhode Island","Truck","1412.3146","120.14895914","2264.574","2273.2905"
"Connecticut","South Carolina","Truck","267.7103","216.70243883","769.0579","772.7672"
"Connecticut","South Dakota","Truck","0.7773","1.21577158","7.9258","7.9517"
"Connecticut","Tennessee","Truck","204.1795","187.01542805","442.6826","444.3663"
"Connecticut","Texas","Truck","312.8332","546.11226164","1590.3357","1597.2491"
"Connecticut","Utah","Truck","28.2413","64.10610443","126.637","126.8205"
"Connecticut","Vermont","Truck","183.0024","38.75124361","1110.4987","1117.696"
"Connecticut","Virginia","Truck","406.5935","172.28237941","1168.4795","1173.8134"
"Connecticut","Washington","Truck","29.1764","85.94150276","189.2017","189.5853"
"Connecticut","West Virginia","Truck","7.0019","4.13559029","65.9577000000001","65.5502000000001"
"Connecticut","Wisconsin","Truck","106.9594","114.75333441","445.0886","446.3965"
"Connecticut","Wyoming","Truck","1.166","2.38441214","3.3131","3.3029"
